Time,Queue Size,Event
0.20800000000000002,1,size
0.21600000000000003,0,size
0.41600000000000004,1,size
0.42400000000000004,0,size
0.42400000000000004,1,size
0.42400000000000004,2,size
0.43200000000000005,1,size
0.44000000000000006,0,size
0.624,1,size
0.632,0,size
0.632,1,size
0.632,2,size
0.64,1,size
0.64,2,size
0.64,3,size
0.648,2,size
0.648,3,size
0.656,2,size
0.664,1,size
0.672,0,size
0.832,1,size
0.84,0,size
0.84,1,size
0.84,2,size
0.848,1,size
0.848,2,size
0.848,3,size
0.856,2,size
0.856,3,size
0.856,4,size
0.864,3,size
0.864,4,size
0.864,5,size
0.872,4,size
0.872,5,size
0.872,6,size
0.88,5,size
0.88,6,size
0.888,5,size
0.896,4,size
0.904,3,size
0.912,2,size
0.92,1,size
0.928,0,size
1.2640000000000002,1,size
1.2720000000000002,0,size
1.4720000000000004,1,size
1.4800000000000004,0,size
1.4800000000000004,1,size
1.4800000000000004,2,size
1.4880000000000004,1,size
1.4960000000000004,0,size
1.6800000000000006,1,size
1.6880000000000006,0,size
1.6880000000000006,1,size
1.6880000000000006,2,size
1.6960000000000006,1,size
1.6960000000000006,2,size
1.6960000000000006,3,size
1.7040000000000006,2,size
1.7040000000000006,3,size
1.7120000000000006,2,size
1.7200000000000006,1,size
1.7280000000000006,0,size
1.9280000000000008,1,size
1.9360000000000008,0,size
1.9360000000000008,1,size
1.9440000000000008,0,size
2.144000000000001,1,size
2.152000000000001,0,size
2.152000000000001,1,size
2.160000000000001,0,size
2.360000000000001,1,size
2.368000000000001,0,size
2.368000000000001,1,size
2.3760000000000012,0,size
2.5760000000000014,1,size
2.5840000000000014,0,size
2.5840000000000014,1,size
2.5920000000000014,0,size
2.8000000000000016,1,size
2.8080000000000016,0,size
3.008000000000002,1,size
3.016000000000002,0,size
3.016000000000002,1,size
3.024000000000002,0,size
3.224000000000002,1,size
3.232000000000002,0,size
3.232000000000002,1,size
3.240000000000002,0,size
3.440000000000002,1,size
3.448000000000002,0,size
3.448000000000002,1,size
3.456000000000002,0,size
3.6560000000000024,1,size
3.6640000000000024,0,size
3.6640000000000024,1,size
3.6720000000000024,0,size
3.8720000000000026,1,size
3.8800000000000026,0,size
3.8800000000000026,1,size
3.8880000000000026,0,size
4.088000000000003,1,size
4.096000000000003,0,size
4.096000000000003,1,size
4.104000000000003,0,size
4.304000000000002,1,size
4.312000000000002,0,size
4.312000000000002,1,size
4.320000000000002,0,size
4.520000000000001,1,size
4.528000000000001,0,size
4.528000000000001,1,size
4.536000000000001,0,size
4.736000000000001,1,size
4.744000000000001,0,size
4.744000000000001,1,size
4.752000000000001,0,size
4.952,1,size
4.96,0,size
4.96,1,size
4.968,0,size
5.167999999999999,1,size
5.175999999999999,0,size
5.175999999999999,1,size
5.183999999999999,0,size
5.383999999999999,1,size
5.391999999999999,0,size
5.391999999999999,1,size
5.399999999999999,0,size
5.599999999999998,1,size
5.607999999999998,0,size
5.607999999999998,1,size
5.615999999999998,0,size
5.815999999999997,1,size
5.823999999999997,0,size
5.823999999999997,1,size
5.831999999999997,0,size
5.839999999999996,1,size
5.839999999999997,0,size
5.847999999999996,1,size
5.847999999999997,0,size
5.855999999999996,1,size
5.855999999999997,0,size
5.863999999999996,1,size
5.863999999999997,0,size
5.871999999999996,1,size
5.871999999999997,0,size
5.879999999999996,1,size
5.879999999999997,0,size
5.887999999999996,1,size
5.887999999999997,0,size
5.895999999999996,1,size
5.895999999999997,0,size
5.903999999999996,1,size
5.903999999999997,0,size
5.911999999999996,1,size
5.911999999999997,0,size
5.919999999999996,1,size
5.919999999999997,0,size
5.927999999999996,1,size
5.927999999999997,0,size
5.935999999999996,1,size
5.935999999999997,0,size
5.943999999999996,1,size
5.943999999999997,0,size
5.951999999999996,1,size
5.951999999999997,0,size
5.959999999999996,1,size
5.959999999999997,0,size
5.967999999999996,1,size
5.967999999999997,0,size
5.975999999999996,1,size
5.975999999999997,0,size
5.983999999999996,1,size
5.983999999999997,0,size
5.991999999999996,1,size
5.991999999999997,0,size
5.9999999999999964,1,size
5.999999999999997,0,size
6.0079999999999965,1,size
6.007999999999997,0,size
6.0159999999999965,1,size
6.015999999999997,0,size
6.0239999999999965,1,size
6.023999999999997,0,size
6.0319999999999965,1,size
6.0319999999999965,2,size
6.031999999999997,1,size
6.0399999999999965,2,size
6.039999999999997,1,size
6.0479999999999965,2,size
6.047999999999997,1,size
6.0559999999999965,2,size
6.055999999999997,1,size
6.0639999999999965,2,size
6.063999999999997,1,size
6.0719999999999965,2,size
6.071999999999997,1,size
6.0799999999999965,2,size
6.079999999999997,1,size
6.0879999999999965,2,size
6.087999999999997,1,size
6.0959999999999965,2,size
6.095999999999997,1,size
6.1039999999999965,2,size
6.103999999999997,1,size
6.1119999999999965,2,size
6.111999999999997,1,size
6.1199999999999966,2,size
6.119999999999997,1,size
6.127999999999997,2,size
6.1279999999999974,1,size
6.135999999999997,2,size
6.1359999999999975,1,size
6.143999999999997,2,size
6.1439999999999975,1,size
6.151999999999997,2,size
6.1519999999999975,1,size
6.159999999999997,2,size
6.1599999999999975,1,size
6.167999999999997,2,size
6.1679999999999975,1,size
6.175999999999997,2,size
6.1759999999999975,1,size
6.183999999999997,2,size
6.1839999999999975,1,size
6.191999999999997,2,size
6.1919999999999975,1,size
6.199999999999997,2,size
6.1999999999999975,1,size
6.207999999999997,2,size
6.2079999999999975,1,size
6.215999999999997,2,size
6.2159999999999975,1,size
6.223999999999997,2,size
6.2239999999999975,1,size
6.231999999999997,2,size
6.2319999999999975,1,size
6.239999999999997,2,size
6.2399999999999975,1,size
6.247999999999997,2,size
6.247999999999997,3,size
6.2479999999999976,2,size
6.255999999999997,3,size
6.255999999999998,2,size
6.263999999999997,3,size
6.263999999999998,2,size
6.271999999999997,3,size
6.271999999999998,2,size
6.279999999999997,3,size
6.279999999999998,2,size
6.287999999999997,3,size
6.287999999999998,2,size
6.295999999999997,3,size
6.295999999999998,2,size
6.303999999999997,3,size
6.303999999999998,2,size
6.311999999999997,3,size
6.311999999999998,2,size
6.319999999999997,3,size
6.319999999999998,2,size
6.327999999999997,3,size
6.327999999999998,2,size
6.335999999999997,3,size
6.335999999999998,2,size
6.343999999999997,3,size
6.343999999999998,2,size
6.351999999999997,3,size
6.351999999999998,2,size
6.359999999999997,3,size
6.359999999999998,2,size
6.367999999999997,3,size
6.367999999999998,2,size
6.375999999999997,3,size
6.375999999999998,2,size
6.383999999999997,3,size
6.383999999999998,2,size
6.391999999999997,3,size
6.391999999999998,2,size
6.399999999999997,3,size
6.399999999999998,2,size
6.407999999999997,3,size
6.407999999999998,2,size
6.415999999999997,3,size
6.415999999999998,2,size
6.423999999999997,3,size
6.423999999999998,2,size
6.431999999999997,3,size
6.431999999999998,2,size
6.439999999999997,3,size
6.439999999999998,2,size
6.447999999999997,3,size
6.447999999999998,2,size
6.455999999999997,3,size
6.455999999999998,2,size
6.463999999999997,3,size
6.463999999999998,2,size
6.471999999999997,3,size
6.471999999999997,4,size
6.471999999999998,3,size
6.479999999999997,4,size
6.479999999999998,3,size
6.487999999999997,4,size
6.487999999999998,3,size
6.495999999999997,4,size
6.495999999999998,3,size
6.503999999999997,4,size
6.503999999999998,3,size
6.511999999999997,4,size
6.511999999999998,3,size
6.519999999999997,4,size
6.519999999999998,3,size
6.527999999999997,4,size
6.527999999999998,3,size
6.535999999999997,4,size
6.535999999999998,3,size
6.543999999999997,4,size
6.543999999999998,3,size
6.551999999999997,4,size
6.551999999999998,3,size
6.559999999999997,4,size
6.559999999999998,3,size
6.567999999999997,4,size
6.567999999999998,3,size
6.575999999999997,4,size
6.575999999999998,3,size
6.583999999999997,4,size
6.583999999999998,3,size
6.591999999999997,4,size
6.591999999999998,3,size
6.599999999999997,4,size
6.599999999999998,3,size
6.607999999999997,4,size
6.607999999999998,3,size
6.615999999999997,4,size
6.615999999999998,3,size
6.623999999999997,4,size
6.623999999999998,3,size
6.631999999999997,4,size
6.631999999999998,3,size
6.639999999999997,4,size
6.639999999999998,3,size
6.647999999999997,4,size
6.647999999999998,3,size
6.655999999999997,4,size
6.655999999999998,3,size
6.663999999999997,4,size
6.663999999999998,3,size
6.671999999999997,4,size
6.671999999999998,3,size
6.679999999999997,4,size
6.679999999999998,3,size
6.687999999999997,4,size
6.687999999999998,3,size
6.695999999999997,4,size
6.695999999999998,3,size
6.703999999999997,4,size
6.703999999999997,5,size
6.703999999999998,4,size
6.711999999999997,5,size
6.711999999999998,4,size
6.719999999999997,5,size
6.719999999999998,4,size
6.727999999999997,5,size
6.727999999999998,4,size
6.735999999999997,5,size
6.735999999999998,4,size
6.743999999999997,5,size
6.743999999999998,4,size
6.751999999999997,5,size
6.751999999999998,4,size
6.759999999999997,5,size
6.759999999999998,4,size
6.767999999999997,5,size
6.767999999999998,4,size
6.775999999999997,5,size
6.775999999999998,4,size
6.783999999999997,5,size
6.783999999999998,4,size
6.791999999999997,5,size
6.791999999999998,4,size
6.799999999999997,5,size
6.799999999999998,4,size
6.807999999999997,5,size
6.807999999999998,4,size
6.815999999999997,5,size
6.815999999999998,4,size
6.823999999999997,5,size
6.823999999999998,4,size
6.831999999999997,5,size
6.831999999999998,4,size
6.839999999999997,5,size
6.839999999999998,4,size
6.847999999999997,5,size
6.847999999999998,4,size
6.855999999999997,5,size
6.855999999999998,4,size
6.863999999999997,5,size
6.863999999999998,4,size
6.871999999999997,5,size
6.871999999999998,4,size
6.879999999999997,5,size
6.879999999999998,4,size
6.887999999999997,5,size
6.887999999999998,4,size
6.895999999999997,5,size
6.895999999999998,4,size
6.903999999999997,5,size
6.903999999999998,4,size
6.911999999999997,5,size
6.911999999999998,4,size
6.919999999999997,5,size
6.919999999999998,4,size
6.927999999999997,5,size
6.927999999999998,4,size
6.935999999999997,5,size
6.935999999999998,4,size
6.943999999999997,5,size
6.943999999999997,6,size
6.943999999999998,5,size
6.951999999999997,6,size
6.951999999999998,5,size
6.959999999999997,6,size
6.959999999999998,5,size
6.967999999999997,6,size
6.967999999999998,5,size
6.975999999999997,6,size
6.975999999999998,5,size
6.983999999999997,6,size
6.983999999999998,5,size
6.991999999999997,6,size
6.991999999999998,5,size
6.999999999999997,6,size
6.999999999999998,5,size
7.007999999999998,4,size
7.015999999999998,3,size
7.023999999999998,2,size
7.031999999999998,1,size
7.039999999999998,0,size
